# The analysis results in this file have been extracted from a superset of the
#
#   Multi-INstrument Burst ARchive (MINBAR) data release 1
#
# comprising analyses of thermonuclear (type-I) X-ray bursts observed by
# the Rossi X-ray Timing Explorer (RXTE), BeppoSAX, and INTEGRAL.
#
# The data has been generated by a query from the web interface at
#
#   http://burst.sci.monash.edu
#
# Some of the data provided here may be PRELIMINARY and NOT SUITABLE FOR 
# PUBLICATION. For the definitive version of the analysis results comprising
# data release 1, download the machine-readable tables available at
#
#   https://doi.org/10.26180/5e4a697d9b8b6
#
# For more information, see the preprint at http://arxiv.org/abs/2003.00685 
# or contact the PI Duncan.Galloway@monash.edu
#
# The last comment line before the data gives the field names, which are
# also described here:
#   https://burst.sci.monash.edu/static/html/columns.html
#
"NAME"	"RA_OBJ"	"DEC_OBJ"	"TYPE"	"NBURST"	"NOBS"	
"IGR J17464-2811"	266.81732	-28.18	T?BC	2	6632	
"IGR J17473-2721"	266.82532	-27.344084	T	61	6534	
"SLX 1744-300"	266.85837	-30.044945	BT?	304	6979	
"SLX 1744-299"	266.85788	-30.000444	BT?C	0	787	
"GX 3+1"	266.98373	-26.563707	ABS	204	6406	
"IGR J17480-2446"	267.02008	-24.78025	BGOPT	303	692	
"EXO 1745-248"	267.0218	-24.779924	BDGST	25	5336	
"Swift J174805.3-244637"	267.02255	-24.777222	BGT	0	417	
"1A 1744-361"	267.05478	-36.132507	TA?BDR	4	2605	
"SAX J1748.9-2021"	267.21735	-20.359001	TGIAB	46	2074	
"Swift J1749.4-2807"	267.3822	-28.134745	BPT	1	1604	
"IGR J17498-2921"	267.4806	-29.32214	BOPT	7	765	
"4U 1746-37"	267.55304	-37.051815	ABDG	37	2122	
"SAX J1750.8-2900"	267.60175	-29.03761	A?BOT	24	6971	
"EXO 1747-214"	267.60217	-21.42219	TB	1	2507	
"GRS 1747-312"	267.69525	-31.274683	BDEGT	21	6642	
"IGR J17511-3057"	267.78607	-30.96139	BOPT	16	1841	
"SAX J1752.3-3138"	268.1	-31.628334	BT	2	6125	
"SAX J1753.5-2349"	268.3829	-23.820795	BT	2	4373	
"AX J1754.2-2754"	268.56042	-27.90989	B	2	6142	
"IGR J17591-2342"	269.7619	-23.71894	BRPT	0	6142	
"IGR J17597-2201"	269.9397	-22.027569	BD	16	2385	
"1RXS J180408.9-342058"	271.03488	-34.347607	BT	1	245	
"SAX J1806.5-2215"	271.63403	-22.238144	TB	9	2440	
"2S 1803-245"	271.71133	-24.591278	TBAR	3	3394	
"MAXI J1807+132"	272.03143	13.2515	TB	0	3394	
"SAX J1808.4-3658"	272.115	-36.978863	BOPRT	12	1808	
"XTE J1810-189"	272.5869	-19.069778	BT	19	1709	
"SAX J1810.8-2609"	272.6853	-26.150333	TBO	16	3447	
"XMMU J181227.8-181234"	273.11584	-18.209444	TBC	7	1241	
"XTE J1814-338"	273.41266	-33.77286	BOPT	28	1775	
"GX 13+1"	273.6295	-17.15725	ABDR	1	1866	
"4U 1812-12"	273.77563	-12.096306	BAC	25	1891	
"GX 17+2"	274.0058	-14.036283	BRSZ	43	2047	
"Swift J181723.1-164300"	274.34647	-16.716722	TB	0	1135	
"SAX J1818.7+1424"	274.68332	14.403333	BT	2	261	
"4U 1820-303"	275.91876	-30.361135	ABGRSC	67	1782	
"AX J1824.5-2451"	276.125	-24.85	GB	1	1197	
"IGR J18245-2452"	276.1354	-24.868834	BGTPR	0	1197	
"4U 1822-000"	276.34174	-0.011944444	B	0	160	
"SAX J1828.5-1037"	277.1415	-10.616528	BS	1	1875	
"GS 1826-24"	277.3675	-23.796972	TB	455	1233	
"XB 1832-330"	278.9319	-32.99077	GBC	19	736	
"Ser X-1"	279.9898	5.035972	BARS	55	806	
"Swift J1858.6-0814"	284.6455	-8.237775	BDT	0	0	
"Swift J185003.2-005627"	282.5139	-0.93980557	BT	0	781	
"4U 1850-086"	283.27032	-8.705544	GBAR?C	4	1368	
"HETE J1900.1-2455"	285.0407	-24.901194	BOIT	10	535	
"XB 1905+000"	287.11255	0.16880834	TBC	0	1204	
"Aql X-1"	287.81686	0.584958	ABDIORT	96	1958	
"XB 1916-053"	289.69946	-5.2380805	BADC	36	492	
"Swift J1922.7-1716"	290.65414	-17.28363	BT	0	2	
"XB 1940-04"	295.65787	-3.8808944	B	0	154	
"XTE J2123-058"	320.81058	-5.798111	TBAE	6	89	
"M15 X-2"	322.49222	12.167389	GBCR?	8	167	
"XB 2129+47"	322.85913	47.290195	BE	0	1074	
"Cyg X-2"	326.17145	38.321415	BZR	70	916	
"SAX J2224.9+5421"	336.20688	54.38614	B	1	525	
