# The analysis results in this file have been extracted from a superset of the
#
#   Multi-INstrument Burst ARchive (MINBAR) data release 1
#
# comprising analyses of thermonuclear (type-I) X-ray bursts observed by
# the Rossi X-ray Timing Explorer (RXTE), BeppoSAX, and INTEGRAL.
#
# The data has been generated by a query from the web interface at
#
#   http://burst.sci.monash.edu
#
# Some of the data provided here may be PRELIMINARY and NOT SUITABLE FOR 
# PUBLICATION. For the definitive version of the analysis results comprising
# data release 1, download the machine-readable tables available at
#
#   https://doi.org/10.26180/5e4a697d9b8b6
#
# For more information, see the preprint at http://arxiv.org/abs/2003.00685 
# or contact the PI Duncan.Galloway@monash.edu
#
# The last comment line before the data gives the column field names, which
# are also described below:
#   name = Likely burst origin
#   time = Burst start time (MJD UT)
#   instr = Instrument label
#   type = Burst type (1=thermonuclear, 2=accretion instability, 3=superburst, 4
#   tau = Ratio of fluence to peak flux, tau
#   taue = Uncertainty on tau
#   rad = Blackbody normalisation at burst peak
#   rade = Uncertainty on blackbody normalisation at burst peak
#   instr = Instrument label
#   bfluen = Bolometric fluence (integrated bolometric flux), E_b
#   bfluene = Uncertainty on bolometric fluence
#   rexp = Photospheric radius-expansion flag
#   rise = Burst rise time
#   risee = Error on burst rise
#   sflag = Data quality/analysis flags
#   bnum = Order of the event within the observation
#   edt = Decay constant for exponential fit to profile
#   edte = Error on decay constant
#   hc = Hard colour
#   obsid = Observation ID
#   id = Entry value for RXTE IDL database (internal use only)
#   nh = Absorption column density for blackbody fit
#   nhe = Uncertainty on absorption column density
#   bpflux = Bolometric peak flux (from blackbody fit)
#   bpfluxe = Uncertainty on bolometric peak flux
#   xref = Burst ID in external catalog (G08 or C17)
#   angle = Angle between the source position and pointing axis
#   s_z = Position on the colour-colour diagram, S_Z
#   pcount = Peak count rate
#   pcounte = 1-sigma error on peak count rate
#   ra = R.A. of origin, where known [decimal hours, J2000]
#   baryshift = Add to time to get the arrival time at SS barycentre
#   dur = Burst duration
#   dure = Uncertainty on burst duration
#   type = Burst type (1=thermonuclear, 2=accretion instability, 3=superburst, 4
#   entry_obs = MINBAR observation ID in which this burst falls
#   added = Date burst added [dd-mm-yyy]
#   bc = Bolometric correction adopted for persistent flux
#   bce = Uncertainty on bolometric correction
#   kt = Blackbody temperature kT at burst peak
#   kte = Uncertainty on blackbody temperature kT at burst peak
#   flag = Numeric flag for analysis conditions
#   fluen = Integrated photon flux
#   fluene = Uncertainty on integrated photon flux
#   alpha = Ratio of integrated persistent flux to burst fluence, alpha
#   alphae = Uncertainty on alpha
#   tdel = Time since previous burst from this source
#   mult = Number of MINBAR instruments which detected this event [1,2]
#   pflux = Peak photon flux
#   pfluxe = Uncertainty on peak photon flux
#   name = Likely burst origin
#   vigcorr = Vignetting correction factor
#   trec = Inferred recurrence time
#   perflx = Persistent 3-25 keV flux prior to the burst, F_per
#   perflxe = Uncertainty on persistent flux
#   refs = References for this burst
#   refs = References for this burst
#   time = Burst start time (MJD UT)
#   sc = Soft colour
#   entry = Entry or Record Number
#   dec = Dec of origin, where known [decimal degrees, J2000]
#   gamma = Ratio of persistent flux to peak PRE burst flux, gamma
#
#
# For a complete description of the table fields and units, see
#   https://burst.sci.monash.edu/static/html/columns.html
#
"name"	"time"	"instr"	"type"	"tau"	"taue"	"rad"	"rade"	"instr"	"bfluen"	"bfluene"	"rexp"	"rise"	"risee"	"sflag"	"bnum"	"edt"	"edte"	"hc"	"obsid"	"id"	"nh"	"nhe"	"bpflux"	"bpfluxe"	"xref"	"angle"	"s_z"	"pcount"	"pcounte"	"ra"	"baryshift"	"dur"	"dure"	"type"	"entry_obs"	"added"	"bc"	"bce"	"kt"	"kte"	"flag"	"fluen"	"fluene"	"alpha"	"alphae"	"tdel"	"mult"	"pflux"	"pfluxe"	"name"	"vigcorr"	"trec"	"perflx"	"perflxe"	"refs"	"refs"	"time"	"sc"	"entry"	"dec"	"gamma"
"4U 1728-34"	50137.24055	XPa	1	7.6	0.2	10.8	0.2	XPa	0.8086	0.0065	2.00	2.00	0.03	d	1	6.0	0.045	0.735	10073-01-07-00	57	2.60	-1.00	106.33	2.76	10	0.20	0.994	7225.4	82.5	17.5326	0.0	22.0	1.0	1	14299	16-12-2010	0.000	0.000	3.04	0.04	8	42.851	0.211	0.0	0.0	30.6	1	4.49	0.03	"4U 1728-34"	0.996	0.0	2.422	0.020	45,46,47,3	45,46,47,3	50137.24055	0.861	2213	-33.835	0.0564	
"4U 1728-34"	50137.74431	XPa	1	6.1	0.4	9.9	0.2	XPa	0.6756	0.0389	2.00	2.00	0.03	d	1	6.1	0.036	0.731	10073-01-08-00	58	2.60	-1.00	111.00	2.77	11	0.30	0.991	7370.1	82.9	17.5326	0.0	21.6	1.0	1	14300	16-12-2010	0.000	0.000	3.20	0.04	8	42.269	0.156	0.0	0.0	12.1	1	4.58	0.02	"4U 1728-34"	0.996	0.0	2.536	0.021	45,46,47	45,46,47	50137.74431	0.879	2214	-33.835	0.0591	
"4U 1728-34"	50138.97021	XPa	1	6.2	0.4	9.9	0.2	XPa	0.6619	0.0379	2.00	2.00	0.02	-	1	5.7	0.037	0.731	10073-01-09-00	59	2.60	-1.00	106.96	2.70	12	0.20	0.991	7169.1	82.0	17.5326	0.0	21.1	1.0	1	14302	16-12-2010	0.000	0.000	3.17	0.04	0	38.636	0.179	0.0	0.0	29.4	1	4.49	0.03	"4U 1728-34"	0.997	0.0	2.696	0.023	45,46,47	45,46,47	50138.97021	0.880	2215	-33.835	0.0628	
"4U 0513-40"	50151.61626	XPa	1	8.6	0.5	5.2	0.3	XPa	0.1034	0.0034	1.00	2.00	0.08	-	1	10.4	0.218	0.530	10078-02-01-02	1	0.03	-1.00	12.05	0.64	1	0.10	0.000	982.5	29.4	5.2352	0.0	29.2	1.4	1	14314	16-12-2010	0.000	0.000	2.55	0.07	0	7.606	0.243	0.0	0.0	0.0	1	0.65	0.01	"4U 0513-40"	0.999	0.0	0.326	0.005	-	-	50151.61626	0.449	2216	-40.044	0.0509	
"4U 1608-522"	50164.69331	XPe	1	17.0	0.4	26.3	0.7	XPe	1.1027	0.0083	1.00	3.00	0.10	-	1	12.6	0.117	0.698	10093-01-03-00	22	0.89	-1.00	65.10	1.41	1	0.10	1.251	6208.1	97.4	16.2119	0.0	45.0	1.2	1	14329	16-12-2010	0.000	0.000	1.72	0.02	0	78.011	1.014	0.0	0.0	0.0	1	3.95	0.03	"4U 1608-522"	0.999	0.0	0.896	0.007	3	3	50164.69331	0.529	2217	-52.423	0.0135	
"4U 1608-522"	50164.70420	XPe	1	26.1	7.3	13.2	3.4	XPe	0.0223	0.0041	1.00	12.00	66.86	-	3	11.2	1.295	0.698	10093-01-03-00	24	0.89	-1.00	0.90	0.19	2	0.20	1.251	72.5	6.0	16.2119	0.0	45.0	4.4	1	14329	16-12-2010	0.000	0.000	0.83	0.08	0	1.207	0.107	0.0	0.0	0.3	1	0.06	0.01	"4U 1608-522"	0.997	0.0	0.896	0.007	-	-	50164.70420	0.529	2219	-52.423	0.0135	
"4U 1608-522"	50164.71019	XPe	1	16.2	0.7	49.5	2.3	XPe	0.3152	0.0045	1.00	13.00	0.70	-	2	7.9	0.119	0.698	10093-01-03-00	23	0.89	-1.00	19.58	0.88	3	0.10	1.251	1470.9	33.4	16.2119	0.0	41.2	1.7	1	14329	16-12-2010	0.000	0.000	0.93	0.02	0	18.050	0.553	0.0	0.0	0.1	1	1.00	0.02	"4U 1608-522"	0.999	0.0	0.896	0.007	3	3	50164.71019	0.529	2218	-52.423	0.0135	
"Cyg X-2"	50165.72506	XPe	1	1.6	0.1	21.8	1.9	XPe	0.0234	0.0012	1.00	1.00	22.66	-	1	2.9	0.677	0.382	10065-02-01-00	118	0.05	-1.00	15.09	1.05	1	0.20	0.000	1470.0	68.8	21.7448	0.0	7.7	1.1	1	14330	16-12-2010	0.000	0.000	1.31	0.05	0	2.041	0.074	0.0	0.0	0.0	1	0.79	0.02	"Cyg X-2"	0.997	0.0	12.553	0.407	-	-	50165.72506	0.584	2220	38.322	2.0609	
"Cyg X-2"	50169.60353	XPa	1	3.2	0.2	20.4	1.4	XPa	0.0390	0.0019	2.00	2.00	0.24	-	1	2.8	0.263	0.327	10066-01-01-00	119	0.05	-1.00	12.43	0.66	2	0.30	0.000	1177.4	42.3	21.7448	0.0	10.1	1.0	1	14331	16-12-2010	0.000	0.000	1.29	0.04	0	3.124	0.055	0.0	0.0	93.1	1	0.75	0.01	"Cyg X-2"	0.995	0.0	11.634	0.242	113,114	113,114	50169.60353	0.565	2221	38.322	1.9099	
"GRS 1741.9-2853"	50192.64670	XPa	1	12.3	1.8	2.7	0.3	XPa	0.1740	0.0142	1.00	3.00	107.89	b,c	2	6.0	0.354	0.000	10401-01-25-00	4426	11.30	-1.00	14.45	1.75	1	11.80	0.000	585.7	30.4	17.7506	0.0	26.6	1.0	1	14345	16-12-2010	0.000	0.000	3.71	0.24	6	5.737	0.034	0.0	0.0	0.0	1	0.45	0.01	"GRS 1741.9-2853"	0.803	0.0	0.000	0.000	-	-	50192.64670	0.000	2222	-28.914	0.0000	
"XB 1916-053"	50208.92926	XPl	1	10.9	0.5	7.9	0.3	XPl	0.2886	0.0085	2.00	1.00	0.02	d	1	8.7	0.147	0.618	10109-01-04-00	115	0.32	-1.00	26.58	1.07	1	0.40	0.000	2206.8	49.6	19.3133	0.0	27.6	1.3	1	14374	16-12-2010	0.000	0.000	2.50	0.05	8	9.934	0.073	0.0	0.0	0.0	1	0.98	0.01	"XB 1916-053"	0.993	0.0	0.678	0.007	109	109	50208.92926	0.507	2223	-5.236	0.2277	
"GRS 1741.9-2853"	50215.68710	XPe	1	13.7	0.7	21.2	1.0	XPe	0.4546	0.0137	2.00	5.00	0.35	b,c	1	6.6	0.152	0.000	10401-01-37-00	4435	11.30	-1.00	33.24	1.45	2	11.80	0.000	1786.3	52.5	17.7506	0.0	30.4	1.5	1	14389	16-12-2010	0.000	0.000	1.62	0.04	6	21.875	0.607	0.0	0.0	553.0	1	1.48	0.02	"GRS 1741.9-2853"	0.804	0.0	0.000	0.000	-	-	50215.68710	0.000	2224	-28.914	0.0000	
"GRS 1741.9-2853"	50217.33058	XPe	1	11.9	0.7	6.2	0.4	XPe	0.2861	0.0035	1.00	4.00	0.47	b,c	1	6.8	0.118	0.000	10401-01-38-00	4436	11.30	-1.00	24.18	1.46	3	11.90	0.000	1204.7	43.4	17.7506	0.0	29.8	1.7	1	14399	16-12-2010	0.000	0.000	2.77	0.10	6	14.515	0.532	0.0	0.0	39.4	1	0.99	0.02	"GRS 1741.9-2853"	0.802	0.0	0.000	0.000	-	-	50217.33058	0.000	2225	-28.914	0.0000	
"GRS 1741.9-2853"	50218.81414	XPa	1	7.1	0.2	13.7	0.4	XPa	0.2866	0.0042	2.00	2.00	0.16	b,c	1	3.6	0.054	0.000	10401-01-39-00	4437	11.30	-1.00	40.33	1.08	4	11.80	0.000	2232.7	44.8	17.7506	0.0	15.8	1.0	1	14402	16-12-2010	0.000	0.000	2.12	0.03	6	16.350	0.176	0.0	0.0	35.6	1	1.88	0.02	"GRS 1741.9-2853"	0.803	0.0	0.000	0.000	59	59	50218.81414	0.000	2226	-28.914	0.0000	
"XB 1916-053"	50235.76996	XPa	1	9.9	0.4	10.0	0.3	XPa	0.2788	0.0091	2.00	1.00	0.02	d	1	7.4	0.272	0.630	10109-01-05-00	116	0.32	-1.00	28.15	0.86	2	0.30	0.000	2430.7	45.7	19.3133	0.0	18.5	1.3	1	14423	16-12-2010	0.000	0.000	2.26	0.04	8	11.612	0.057	0.0	0.0	644.2	1	1.39	0.01	"XB 1916-053"	0.996	0.0	0.438	0.005	109	109	50235.76996	0.524	2227	-5.236	0.1473	
"GRS 1741.9-2853"	50238.61188	XPa	1	11.8	0.7	11.7	0.6	XPa	0.2528	0.0098	2.00	3.00	0.20	b,c	2	8.3	0.169	0.000	10401-01-50-00	4451	11.30	-1.00	21.45	0.91	5	11.80	0.000	1250.1	35.6	17.7506	0.0	28.0	1.3	1	14425	16-12-2010	0.000	0.000	1.96	0.05	6	14.621	0.489	0.0	0.0	475.1	1	1.02	0.01	"GRS 1741.9-2853"	0.804	0.0	0.000	0.000	59	59	50238.61188	0.000	2228	-28.914	0.0000	
"GRS 1741.9-2853"	50253.41364	XPa	1	11.5	1.3	7.8	0.3	XPa	0.4145	0.0458	2.00	3.00	0.15	b,c	1	7.2	0.246	0.000	10401-01-57-03	4528	11.30	-1.00	36.30	1.42	6	11.20	0.000	1858.0	40.8	17.7506	0.0	39.7	1.4	1	14439	16-12-2010	0.000	0.000	2.74	0.06	6	18.682	0.199	0.0	0.0	355.2	1	1.45	0.02	"GRS 1741.9-2853"	0.813	0.0	0.000	0.000	59	59	50253.41364	0.000	2229	-28.914	0.0000	
"GRS 1741.9-2853"	50272.08187	XPa	1	21.7	1.4	8.7	0.3	XPa	0.9844	0.0504	2.00	13.00	1.08	b,c	1	12.4	0.803	0.000	10401-01-66-01	4599	11.30	-1.00	45.61	1.70	7	11.20	0.000	2255.4	47.7	17.7506	0.0	55.8	1.2	1	14464	16-12-2010	0.000	0.000	2.73	0.06	6	39.428	0.250	0.0	0.0	448.0	1	1.79	0.02	"GRS 1741.9-2853"	0.813	0.0	0.000	0.000	-	-	50272.08187	0.000	2230	-28.914	0.0000	
"KS 1731-260"	50278.17791	XPa	1	7.9	0.2	11.7	0.3	XPa	0.3406	0.0046	2.00	3.00	0.17	-	1	6.0	0.088	0.409	10416-01-01-00	68	1.30	-1.00	43.16	1.17	1	0.20	2.364	3550.8	60.2	17.5704	0.0	24.2	1.4	1	14471	16-12-2010	1.494	0.011	2.33	0.04	0	20.644	0.425	0.0	0.0	0.0	1	2.22	0.02	"KS 1731-260"	0.996	0.0	5.217	0.021	55,3	55,3	50278.17791	0.616	2231	-26.089	0.2361	
"4U 1246-588"	50286.29005	SW1	1	60.9	10.1	12.0	1.4	SW1	7.0372	0.1194	2.00	26.80	2.00	-	1	29.0	1.249	1.020	680	0	0.50	0.00	125.19	20.72	0	216.08	0.000	5.9	0.3	12.8277	0.0	132.6	3.8	1	1319	7-09-2010	0.000	0.000	2.99	0.22	0	359.758	9.349	0.0	0.0	0.0	1	5.62	0.39	"4U 1246-588"	0.807	0.0	0.295	0.159	13,5,6	13,5,6	50286.29005	0.575	1	-59.087	0.0063	
"GRS 1741.9-2853"	50287.17632	XPa	1	42.1	4.4	16.9	0.5	XPa	2.2106	0.2260	2.00	23.00	12.76	b,c	1	24.4	0.949	0.000	10401-01-73-00	4600	11.30	-1.00	52.66	1.37	8	11.30	0.000	2891.1	53.1	17.7506	0.0	127.1	1.4	1	14477	16-12-2010	0.000	0.000	2.03	0.03	6	116.148	0.423	0.0	0.0	362.3	1	2.18	0.02	"GRS 1741.9-2853"	0.812	0.0	0.000	0.000	-	-	50287.17632	0.000	2232	-28.914	0.0000	
"Aql X-1"	50288.37265	XPa	1	12.3	0.8	11.4	0.7	XPa	0.7416	0.0259	1.00	4.00	0.34	b,c	1	11.3	0.140	0.762	10072-06-01-00	106	0.40	-1.00	60.78	3.24	1	49.60	0.000	647.1	16.8	19.1878	0.0	42.5	1.2	1	14478	16-12-2010	0.000	0.000	2.57	0.10	6	41.300	0.563	0.0	0.0	0.0	1	2.55	0.05	"Aql X-1"	0.174	0.0	0.098	0.009	3	3	50288.37265	0.453	2233	0.585	0.0024	
"Aql X-1"	50288.38004	XPa	1	11.2	3.4	16.2	0.8	XPa	0.5023	0.1516	1.00	3.00	0.22	b,c	2	6.2	0.105	0.762	10072-06-01-00	107	0.40	-1.00	44.94	1.37	2	49.60	0.000	544.8	11.0	19.1878	0.0	24.0	1.4	1	14478	16-12-2010	1.400	0.000	2.00	0.05	6	25.756	1.065	0.2	0.1	0.2	1	2.19	0.04	"Aql X-1"	0.173	0.2	0.098	0.009	3	3	50288.38004	0.453	2234	0.585	0.0024	
"EXO 0748-676"	50310.73531	XPl	1	17.8	0.9	5.3	0.2	XPl	0.0372	0.0012	1.00	11.00	1.76	-	1	13.2	0.491	1.025	10108-01-10-00	3	0.80	-1.00	2.10	0.08	1	0.20	1.030	200.5	5.9	7.8094	0.0	51.3	2.2	1	14500	16-12-2010	0.000	0.000	1.62	0.04	0	3.244	0.105	0.0	0.0	0.0	1	0.14	0.01	"EXO 0748-676"	0.997	0.0	0.244	0.009	3	3	50310.73531	0.851	2235	-67.753	0.0762	
"EXO 0748-676"	50310.74715	XPa	1	14.7	0.5	7.9	0.3	XPa	0.0937	0.0012	1.00	4.00	0.57	-	2	10.1	0.208	1.025	10108-01-10-00	4	0.80	-1.00	6.39	0.23	2	0.20	1.030	586.5	16.2	7.8094	0.0	37.4	1.1	1	14500	16-12-2010	1.931	0.021	1.75	0.04	0	6.322	0.003	5.1	0.2	0.3	1	0.39	0.01	"EXO 0748-676"	0.996	0.3	0.244	0.009	3	3	50310.74715	0.851	2236	-67.753	0.0762	
"EXO 0748-676"	50310.90800	XPa	1	32.4	2.9	6.3	0.4	XPa	0.2896	0.0206	1.00	9.00	1.24	-	1	60.0	1.782	1.089	10108-01-07-01	5	0.80	-1.00	8.99	0.50	3	0.20	1.228	795.4	26.7	7.8094	0.0	160.1	2.3	1	14501	16-12-2010	1.931	0.021	2.14	0.07	0	19.300	0.452	28.3	2.2	3.9	1	0.46	0.01	"EXO 0748-676"	0.997	3.9	0.302	0.002	3	3	50310.90800	0.620	2237	-67.753	0.0946	
"XB 1916-053"	50311.51919	XPa	1	8.8	0.3	8.6	0.3	XPa	0.2603	0.0052	2.00	1.00	0.06	-	1	8.3	0.136	0.724	10109-01-07-00	117	0.32	-1.00	29.83	0.99	3	0.20	0.000	2424.3	45.7	19.3133	0.0	26.6	1.1	1	14502	16-12-2010	0.000	0.000	2.48	0.05	0	16.531	0.371	0.0	0.0	1818.0	1	1.55	0.01	"XB 1916-053"	0.996	0.0	0.325	0.002	109	109	50311.51919	0.583	2238	-5.236	0.1092	
"4U 1728-34"	50316.87737	SW2	1	4.7	1.0	10.0	1.6	SW2	0.2488	0.0410	1.84	2.20	1.00	-	1	4.1	0.821	0.549	808	0	2.60	0.00	54.19	8.93	0	309.58	2.199	3.6	0.6	17.5326	0.0	12.7	2.8	1	5820	7-09-2010	0.000	0.000	2.49	0.22	0	16.972	3.319	0.0	0.0	4269.8	1	2.99	0.54	"4U 1728-34"	0.697	0.0	4.588	0.150	19	19	50316.87737	0.685	5	-33.835	0.1101	
